Tract,total_risk
16001010361,40
16001010362,40
16001010363,40
16001010364,40
16001010365,40
16001010366,40
16001010367,40
16001010368,40
16001010369,42.97297297
16001010370,40
16001010371,40
16001010403,30.12345679
16001010404,40
16001010405,40
16001010406,40
16001010407,40
16001010408,32.74725275
16001010409,40
16001010410,40
16001010411,40
16001010501,24.63636364
16001010503,24.93506494
16001010505,30
16001010506,30
16003950100,20
16003950200,25.84980237
16005000200,15.61904762
16005000301,20
16005000302,20
16005000400,20
16005000500,20
16005000600,20
16005000700,20
16005000800,20
16005000900,20
16005001000,20
16005001102,20
16005001103,20
16005001104,20
16005001200,20
16005001300,20
16005001400,20
16005001500,20
16005001601,20
16005001602,20
16005001603,20
16005001700,19.78723404
16005001900,11.53658537
16005940000,19.86666667
16005981800,16.66666667
16007950100,11.74129353
16007950200,10.33613445
16009940000,20
16009950100,20
16011940000,19.84496124
16011950101,20
16011950102,20
16011950200,19.04522613
16011950300,18.21808511
16011950400,20
16011950501,20
16011950502,20
16011950600,20
16011950700,20
16013960101,18.1372549
16013960102,19.4375
16013960201,20
16013960202,19.14473684
16013960301,12.69662921
16013960302,10.56179775
16013960501,17.5
16013960502,17.71428571
16015950201,20
16015950202,19.89361702
16015950203,20
16017950100,20
16017950201,20
16017950202,20.34883721
16017950203,28.42592593
16017950300,30
16017950401,21.60714286
16017950402,23.21100917
16017950403,28.33333333
16017950500,22.43421053
16017950600,20
16017950701,26.94444444
16017950702,20.13513514
16017950801,24.54545455
16017950802,22.83185841
16017950901,22.38095238
16017950902,25.90909091
16019970100,14.41471572
16019970300,20
16019970401,20.15384615
16019970402,20
16019970404,20
16019970405,20
16019970502,20.29850746
16019970503,19.45652174
16019970504,20
16019970505,20
16019970601,20
16019970602,20
16019970603,20
16019970700,21.76470588
16019970800,20
16019970900,20
16019971000,20
16019971100,20
16019971200,23.94594595
16019971301,20.24691358
16019971302,20
16019971401,20.22222222
16019971402,20
16019971500,19.83050847
16021970100,20
16021970200,19.90610329
16023970100,10
16025970100,19.74358974
16027020100,53.91304348
16027020200,50.42105263
16027020300,48.41666667
16027020403,40.35087719
16027020404,50.125
16027020405,38.98305085
16027020406,30.53333333
16027020501,40
16027020503,30
16027020505,34.14634146
16027020506,40
16027020601,50
16027020603,50
16027020604,60
16027020700,43.62318841
16027020903,45.14705882
16027020904,30.34482759
16027020905,39.8
16027020906,40
16027020907,30
16027020908,30
16027020909,49.70588235
16027020910,30.92592593
16027021003,60
16027021004,55.2238806
16027021005,50
16027021006,50
16027021007,54.68085106
16027021008,58.75
16027021101,55.33333333
16027021102,50
16027021103,50
16027021104,50
16027021105,51.32075472
16027021201,47.79661017
16027021202,40
16027021300,43.24675325
16027021500,54.93333333
16027021600,51.53846154
16027021701,50.35294118
16027021702,53.17757009
16027021801,40.36585366
16027021802,49.07692308
16027021901,37.89473684
16027021904,34.16149068
16027021905,38.16
16027021906,30.65420561
16027021907,40
16027022100,22.05992509
16027022200,24.51327434
16027022301,20.88235294
16027022302,29.84126984
16027022303,28.27160494
16027022400,31.29213483
16029960100,14.4012945
16029960200,18.69565217
16031950100,14.83870968
16031950200,20
16031950300,20
16031950400,20
16031950500,20
16031950600,19.62566845
16033950100,10
16035940001,26.31578947
16035940002,24.64516129
16035970100,20.09756098
16037960200,10.07575758
16039960100,20
16039960201,20
16039960202,20
16039960300,20.15384615
16039960401,20.07042254
16039960402,20.77922078
16039960500,20
16041970100,12.52307692
16041970200,15.42056075
16043970100,11.37184116
16043970200,18.22510823
16043970301,20
16043970302,20
16045960100,20.04694836
16045960200,21.51515152
16045960301,20
16045960302,20
16047960101,20
16047960102,20
16047960201,20
16047960202,20
16049940000,20
16049960100,20.625
16049960201,20
16049960202,20
16049960300,20
16049960400,19.53271028
16051960100,15.42857143
16051960200,20
16051960301,20
16051960302,20
16051960401,20
16051960402,20
16053970100,20
16053970200,20
16053970300,20
16053970400,20
16053970501,20
16053970502,20
16055000101,30
16055000102,22.02898551
16055000201,30
16055000202,30
16055000203,28.64864865
16055000301,29.85714286
16055000303,30
16055000304,30
16055000401,27.1
16055000402,30
16055000501,30
16055000502,30
16055000503,30
16055000601,30
16055000602,28.14814815
16055000701,30
16055000702,30
16055000703,30
16055000704,30
16055000800,30
16055000901,30
16055000902,30
16055001002,30
16055001003,30
16055001004,30
16055001100,28.61111111
16055001201,30
16055001202,30
16055001300,30
16055001400,30
16055001500,30
16055001600,30
16055001700,23.44827586
16055001801,29.62962963
16055001802,25.74468085
16055001901,20
16055001902,20
16055002000,26.57142857
16055940000,20
16057005101,20
16057005102,20
16057005200,20
16057005301,20
16057005302,20
16057005400,20
16057005500,20
16057005600,20
16057005700,20
16059970100,10
16059970200,10
16059970300,10.0913242
16061940001,20
16061940002,20.08403361
16061950300,20
16063950100,20
16065950101,20
16065950102,20
16065950103,20
16065950200,20
16065950301,20
16065950303,20
16065950304,20
16065950401,20
16065950402,18.87323944
16065950501,20
16065950502,20
16067970100,20
16067970200,20
16067970300,20
16067970400,20
16067970500,20
16069940000,24.26056338
16069960200,20.3030303
16069960300,28.81578947
16069960400,30
16069960500,30
16069960600,30
16069960700,26.04395604
16069960800,23.22033898
16069960900,27.5
16069961000,20.88888889
16071960100,10.03496503
16073950101,20
16073950102,25.29850746
16073950200,17.63473054
16075960100,20.58823529
16075960200,24.29906542
16075960301,22.27848101
16075960302,30
16075960400,21.9123506
16077960100,13.51351351
16077960200,19.91967871
16079960200,20
16079960300,20
16079960400,20
16081960101,10
16081960102,10
16081960103,10
16081960104,10
16081960105,10
16081960106,10
16081960107,10
16083000200,20
16083000300,19.96644295
16083000400,20
16083000500,20
16083000600,20
16083000701,20
16083000702,20
16083000800,20
16083000900,20
16083001001,20
16083001002,20
16083001100,20
16083001201,20
16083001202,20
16083001301,20
16083001302,20
16083001600,19.37062937
16085970100,20.1994302
16085970200,20
16085970301,20
16085970302,20
16087970100,28.56435644
16087970200,20
16087970300,20
41001950100,20
41001950200,20
41001950300,20
41001950400,20
41001950500,20
41001950600,25.28634361
41003000101,30
41003000102,30
41003000202,30
41003000401,30
41003000402,30
41003000500,30
41003000600,30
41003000900,30
41003001001,30
41003001002,30
41003001101,30
41003001102,30
41003010101,40
41003010102,39.375
41003010200,30.05649718
41003010300,24.45945946
41003010400,30
41003010601,30
41003010602,30
41003010702,30
41003010800,30
41003010900,30.09708738
41005020101,44.77272727
41005020102,50
41005020201,48.63636364
41005020202,41.11111111
41005020302,40
41005020303,40
41005020304,40
41005020401,40
41005020403,40
41005020404,42.8
41005020503,50
41005020504,49.88764045
41005020505,50
41005020506,63.87096774
41005020507,90
41005020601,80.6
41005020602,87.79220779
41005020700,79.51612903
41005020800,50
41005020900,50
41005021000,50
41005021100,50
41005021200,50
41005021300,50
41005021400,50
41005021500,50
41005021601,50
41005021602,50
41005021700,50.88888889
41005021801,50
41005021802,50
41005021900,58.88888889
41005022000,53.65591398
41005022101,50
41005022105,52.77777778
41005022107,50
41005022108,52.75
41005022109,60
41005022110,60
41005022201,50
41005022205,51.66666667
41005022206,50.80645161
41005022207,59.85294118
41005022208,60
41005022301,90.25641026
41005022302,90
41005022400,90
41005022501,90.53571429
41005022502,90
41005022602,87.14285714
41005022603,90
41005022605,90
41005022606,90
41005022702,43.11111111
41005022707,49.01785714
41005022708,43.87096774
41005022710,50
41005022800,49.85714286
41005022901,52.15189873
41005022904,50
41005022905,50
41005022906,50.24390244
41005022907,50
41005023001,90.27777778
41005023002,121.6
41005023100,98.52941176
41005023201,60
41005023202,72.97029703
41005023300,76
41005023401,91.38461538
41005023403,100
41005023404,100
41005023500,112.6126126
41005023600,200
41005023700,191.7
41005023800,63.78947368
41005023901,178.6538462
41005023902,310.8888889
41005024000,163.3333333
41005024100,333.3333333
41005024200,200
41005024302,118.4615385
41005024303,70
41005024304,74.10071942
41005024401,50
41005024402,50
41005980000,160
41007950100,20
41007950200,20
41007950300,20
41007950400,20
41007950500,20
41007950600,20
41007950700,16.27118644
41007950900,10
41007951100,14.60251046
41007951200,20
41007951300,20
41009970201,20
41009970202,20
41009970300,20.96296296
41009970400,20
41009970500,24.84076433
41009970600,26.35714286
41009970700,30
41009970800,30
41009970900,21.25
41009971000,20
41009971100,20
41011000101,20
41011000102,20
41011000103,20
41011000200,20
41011000300,20
41011000401,20
41011000402,20
41011000502,20
41011000503,20
41011000505,20
41011000506,20
41011000600,20
41011000701,20
41011000702,20
41011000800,20
41011000901,20
41011000902,20
41011001001,20
41011001002,20
41011001101,20
41011001102,20
41013950101,30
41013950102,30
41013950200,30
41013950301,34.05940594
41013950302,30
41013950401,30
41013950402,28.42391304
41015950100,19.08602151
41015950201,14.66666667
41015950202,18.38709677
41015950301,20
41015950302,20
41015950401,20
41015950402,20
41017000100,32.5
41017000201,30
41017000202,30
41017000301,30
41017000302,30
41017000401,30.68965517
41017000403,30
41017000404,30
41017000501,40
41017000502,38.50649351
41017000601,40
41017000602,37.41573034
41017000603,38.18181818
41017000701,40
41017000702,40
41017000800,40
41017000901,40
41017000902,40
41017001002,40
41017001003,40
41017001004,40
41017001005,40
41017001101,40
41017001102,39.91666667
41017001200,37.13333333
41017001301,40
41017001302,39.35897436
41017001401,37.71084337
41017001402,40
41017001501,40
41017001502,40
41017001601,40
41017001602,40
41017001701,40
41017001702,40
41017001801,40
41017001802,40
41017001901,39.33333333
41017001903,40
41017001904,40
41017002001,40
41017002002,40
41017002101,38.49056604
41017002102,36.92307692
41017002103,36.82692308
41019010000,21.83333333
41019020000,20.90909091
41019030000,39.63235294
41019040000,51.48387097
41019050001,64.69387755
41019050003,50.25641026
41019050004,50.37974684
41019060000,36.19565217
41019070000,29.85714286
41019080001,35.58823529
41019080002,30.625
41019090001,40
41019090002,47.41935484
41019100000,174.8344371
41019110000,51.8
41019120001,40
41019120002,40
41019130001,38.55263158
41019130002,40
41019140000,30.45454545
41019150001,30
41019150002,30
41019160001,30
41019160002,30
41019170000,23.04635762
41019180000,31.58974359
41019190000,30
41019200000,29.17525773
41019210000,32.10691824
41021960100,29.8974359
41023960100,20.21645022
41023960201,20.70921986
41023960202,20
41025960101,20
41025960102,20
41025960200,18.84210526
41027950100,35.57823129
41027950201,40
41027950202,40
41027950301,35.67164179
41027950302,35.56962025
41027950400,39.13043478
41029000100,40
41029000201,40
41029000202,40
41029000203,40
41029000300,40
41029000403,40
41029000404,40
41029000405,40
41029000406,40
41029000501,40
41029000502,40
41029000603,40
41029000604,40
41029000605,40
41029000606,40
41029000701,39.18032787
41029000702,33.75
41029000800,37.97468354
41029000901,38.42105263
41029000902,38.11764706
41029001001,40
41029001002,36.28205128
41029001100,32.7173913
41029001200,40
41029001301,39.51219512
41029001303,40
41029001304,39.90990991
41029001401,40
41029001402,40
41029001403,40
41029001500,38.09090909
41029001601,33.90243902
41029001602,30.30769231
41029001701,30
41029001702,30
41029001801,30
41029001802,30
41029001900,30
41029002000,30
41029002100,30
41029002200,30
41029002300,26.5060241
41029002400,30.12345679
41029002500,28.27777778
41029002600,34.75903614
41029002701,36.25
41029002702,36.46341463
41029002800,31.87919463
41029002901,30
41029002902,30
41029003001,30.13888889
41029003002,28.87417219
41031940000,58.36734694
41031960100,41.46666667
41031960201,40
41031960202,40.16853933
41031960301,40
41031960303,44.25925926
41031960304,40
41031960305,40
41033360100,28.01980198
41033360300,30
41033360400,30
41033360500,30
41033360601,30
41033360602,30
41033360701,30
41033360703,30
41033360704,30
41033360800,30
41033360900,26.73076923
41033361000,30
41033361101,30
41033361102,30
41033361201,30
41033361202,30
41033361301,30
41033361302,30
41033361400,30
41033361500,25.83333333
41033361601,33.7654321
41033361602,34.69565217
41035970100,25.78199052
41035970201,21.27659574
41035970202,28.56521739
41035970300,20.95541401
41035970400,20
41035970500,20
41035970600,20
41035970700,20
41035970800,20.60606061
41035970901,27.32394366
41035970902,29.375
41035971000,20.67567568
41035971100,20.31914894
41035971200,23.33333333
41035971300,20.28169014
41035971400,21.84615385
41035971500,28.125
41035971600,30
41035971700,30
41035971800,30
41035971900,30
41035972000,29.91525424
41037960100,20.23474178
41037960200,20
41039000100,208
41039000200,82.6
41039000300,47.31343284
41039000402,29.90291262
41039000403,30
41039000404,30.6122449
41039000500,20.27972028
41039000702,20
41039000705,20
41039000706,20
41039000707,20
41039000708,20
41039000800,35.88235294
41039000902,29.81818182
41039000903,30
41039000904,30.15873016
41039001001,36.66666667
41039001002,39.48717949
41039001101,47.2972973
41039001102,42.43902439
41039001201,40
41039001202,40
41039001301,39.83333333
41039001302,40
41039001400,41.35135135
41039001500,37.63513514
41039001600,49.38931298
41039001700,54
41039001801,81.96721311
41039001803,80.25
41039001804,100
41039001902,60
41039001903,60
41039001904,60
41039002001,50
41039002002,50
41039002101,50
41039002103,50
41039002104,50
41039002201,50
41039002203,50
41039002204,50
41039002301,40
41039002302,40
41039002401,40
41039002403,40.10416667
41039002404,40
41039002501,40
41039002504,40
41039002505,40
41039002506,40
41039002600,40
41039002700,40
41039002800,40
41039002902,50
41039002903,44.23076923
41039002904,40
41039003000,45.55555556
41039003101,50
41039003103,50
41039003104,50
41039003201,50
41039003202,51.92307692
41039003301,50.95238095
41039003302,58.7012987
41039003400,59.66101695
41039003500,60.09345794
41039003600,59
41039003700,56.11111111
41039003801,40
41039003802,40
41039003900,40
41039004000,40
41039004100,40.38167939
41039004200,40
41039004300,40.76923077
41039004403,40
41039004404,40
41039004405,40
41039004406,40
41039004407,40
41039004501,40
41039004502,40
41039004600,40
41039004700,40
41039004800,40
41039004900,55.77319588
41039005000,40
41039005100,40
41039005200,40
41039005300,40
41039005400,40
41041950100,20
41041950303,20
41041950304,20
41041950401,20
41041950402,20
41041950601,20.99099099
41041950602,20.66666667
41041950800,20.375
41041950900,20
41041951000,20
41041951100,20
41041951200,20
41041951300,21.64705882
41041951400,23.16831683
41041951500,20
41041951600,20
41041951700,20
41041951800,28.87096774
41043020101,39.02439024
41043020102,40
41043020103,40
41043020200,40
41043020300,40
41043020400,40
41043020500,40
41043020601,40
41043020602,40
41043020700,40
41043020801,40
41043020802,40
41043030100,40
41043030201,71.14457831
41043030202,49.7826087
41043030300,49.49275362
41043030401,58.69565217
41043030403,59.20634921
41043030404,60.875
41043030500,48.67052023
41043030600,34.15730337
41043030700,36.11650485
41043030801,40.21505376
41043030802,40
41043030903,47.22627737
41043030904,46.35416667
41043030905,43.97058824
41043030906,48.57142857
41045970200,25.62043796
41045970300,29.45454545
41045970400,30
41045970500,20.48309179
41045970600,20
41045970700,20
41045970900,17.11911357
41047000200,40
41047000300,40
41047000400,40
41047000501,40
41047000502,40
41047000600,40
41047000702,40
41047000703,40
41047000900,40
41047001000,40.5
41047001100,40
41047001200,40
41047001300,40
41047001401,40
41047001402,40
41047001501,40
41047001502,40
41047001503,40
41047001601,40
41047001603,40
41047001605,40
41047001606,40
41047001607,40
41047001608,40
41047001701,40
41047001702,43.33333333
41047001703,40.44444444
41047001801,40
41047001802,40
41047001803,40
41047002001,40
41047002002,40
41047002101,40
41047002102,40
41047002201,40
41047002202,40
41047002301,40
41047002303,40
41047002304,40
41047002400,38.17073171
41047002502,39.40740741
41047002503,40
41047002504,40
41047002600,40
41047002701,40.89285714
41047002702,40.76923077
41047002800,36.43835616
41047010100,30.97222222
41047010201,40
41047010202,44.43113772
41047010303,33.76923077
41047010304,40
41047010305,40
41047010307,40
41047010308,40
41047010309,40
41047010400,40.15037594
41047010501,65.27559055
41047010502,54.0776699
41047010503,48.42105263
41047010600,88.77697842
41047010701,50.25477707
41047010702,53.10344828
41047010801,46.4084507
41047010802,38.98305085
41049970101,29.88235294
41049970102,30
41049970200,28.26923077
41051000101,50
41051000102,50
41051000201,50
41051000202,50
41051000301,50
41051000302,50
41051000401,50
41051000402,50
41051000501,50
41051000502,50
41051000601,51.33333333
41051000602,50
41051000701,50
41051000702,50
41051000801,50
41051000802,50
41051000901,50
41051000902,50
41051001000,50
41051001101,50
41051001102,50
41051001202,50
41051001203,50
41051001204,50
41051001301,50
41051001302,50
41051001400,50
41051001500,50
41051001601,50
41051001602,50
41051001702,50
41051001703,50
41051001704,50
41051001801,50
41051001802,50
41051001900,50
41051002001,50
41051002002,50
41051002101,50
41051002102,50
41051002203,50
41051002303,50
41051002401,50
41051002402,50
41051002501,50
41051002502,50
41051002600,50
41051002701,50
41051002702,50
41051002801,50
41051002802,50
41051002901,50
41051002902,50
41051002903,50
41051003000,50
41051003100,50
41051003200,50
41051003301,50
41051003302,50
41051003401,50
41051003402,50
41051003501,50
41051003502,50
41051003601,50
41051003602,50
41051003603,50
41051003701,50
41051003702,50
41051003801,49.70588235
41051003802,50
41051003803,50
41051003902,50
41051003903,41.01265823
41051003904,45.89041096
41051004002,42.91079812
41051004003,40
41051004102,40
41051004103,40
41051004104,39.6969697
41051004200,40
41051004300,34.72727273
41051004500,50
41051004601,50
41051004602,50
41051004700,50
41051004800,50
41051004901,50
41051004902,50
41051005001,50
41051005002,50
41051005101,50
41051005102,50
41051005103,50
41051005201,50
41051005202,50
41051005500,50
41051005601,50
41051005602,50
41051005701,50
41051005702,50
41051005800,50
41051005901,50
41051005902,50
41051005903,50
41051006001,50
41051006002,50
41051006100,50
41051006200,50
41051006300,50
41051006402,45.44117647
41051006403,40
41051006404,40
41051006501,40
41051006502,42.77777778
41051006601,40
41051006602,49.09090909
41051006701,40
41051006702,47.08333333
41051006801,40
41051006802,47.80487805
41051006900,44.20289855
41051007001,40
41051007002,38.125
41051007100,26.21621622
41051007201,40
41051007202,42.32142857
41051007300,49.43396226
41051007400,50
41051007500,49.8245614
41051007600,50
41051007700,50
41051007800,50
41051007900,50
41051008001,50
41051008002,50
41051008100,50
41051008201,50
41051008203,50
41051008204,50
41051008301,50
41051008302,56.52173913
41051008400,59.0625
41051008500,60
41051008600,50
41051008700,50
41051008800,50
41051008902,51.52173913
41051008903,60
41051008904,60
41051009001,60
41051009002,60
41051009101,60
41051009102,60
41051009202,51.63265306
41051009203,51.11111111
41051009204,50
41051009301,50
41051009302,50
41051009400,50
41051009501,50
41051009502,50
41051009603,50
41051009604,50
41051009605,50
41051009606,50
41051009701,54.375
41051009703,53.84615385
41051009704,56.31578947
41051009801,58.69565217
41051009803,60
41051009804,60
41051009903,60
41051009904,60
41051009905,60
41051009906,60
41051009907,60
41051010001,60
41051010002,60
41051010101,59
41051010102,50
41051010200,50.24691358
41051010303,68.82352941
41051010304,52.66666667
41051010305,67.23404255
41051010306,79.0625
41051010402,77.31092437
41051010405,60
41051010407,80
41051010408,63.57142857
41051010410,77.5
41051010411,78.88888889
41051010412,77.5
41051010413,79.41176471
41051010500,71.60714286
41051010601,50
41051010602,50
41051980000,50
41053005100,40
41053005203,40
41053005204,40
41053005205,40
41053005206,40
41053005301,38.89908257
41053005302,34
41053020202,28.89908257
41053020203,30
41053020204,27.0212766
41053020303,30
41053020304,30
41053020305,30
41053020306,30
41053020400,23.30882353
41053020500,25.58139535
41055950100,32.59259259
41057960101,20
41057960102,18.6
41057960200,10.22727273
41057960300,19.83333333
41057960401,20
41057960402,20
41057960500,20
41057960600,20
41057960700,18.54014599
41057960800,19.7761194
41059940000,22.45901639
41059950100,24.41747573
41059950201,30
41059950202,29.88764045
41059950300,22.58241758
41059950400,28.52272727
41059950500,27.84615385
41059950601,30
41059950602,24.79166667
41059950700,30
41059950800,30
41059950900,30
41059951000,30
41059951100,30
41059951201,30
41059951202,30
41059951300,30
41059951400,20
41061970100,20
41061970200,20
41061970300,20
41061970400,20.08928571
41061970500,20
41061970600,20
41061970700,20
41061970800,20.15873016
41063960100,20
41063960200,20
41063960300,20
41065970100,34.51219512
41065970200,40
41065970300,40
41065970400,39.87179487
41065970500,39.50819672
41065970600,34.66019417
41065970700,32.70588235
41065970800,41.23324397
41067030103,40
41067030104,40
41067030105,40
41067030106,40
41067030200,40
41067030300,40
41067030401,40
41067030402,40
41067030501,40
41067030502,40
41067030600,40
41067030700,40
41067030801,40
41067030803,40
41067030805,40
41067030806,40
41067030900,40
41067031005,40
41067031007,40
41067031008,40
41067031009,40
41067031010,40
41067031011,40
41067031012,40
41067031100,40
41067031201,40
41067031202,40
41067031301,40
41067031302,40
41067031402,40
41067031403,40
41067031404,40
41067031504,31.15384615
41067031506,40
41067031507,40
41067031509,30
41067031511,37.77777778
41067031514,30.89552239
41067031515,40
41067031516,40
41067031517,40
41067031518,36.57894737
41067031519,39.78947368
41067031520,32.83783784
41067031606,40
41067031612,40
41067031614,35
41067031615,36.66666667
41067031616,40
41067031617,40
41067031618,39.09090909
41067031619,40
41067031620,40
41067031621,40
41067031622,40
41067031623,40
41067031624,40
41067031625,39.41176471
41067031626,40
41067031703,36.09756098
41067031705,40
41067031706,40
41067031707,40
41067031708,35.88235294
41067031804,32.22222222
41067031806,40
41067031807,40
41067031813,40
41067031814,40
41067031816,40
41067031817,40
41067031818,40
41067031819,40
41067031820,40
41067031821,40
41067031904,40
41067031909,40
41067031911,40
41067031912,40
41067031913,40
41067031914,40
41067031915,37.3015873
41067031916,40
41067031917,40
41067031918,40
41067032001,40
41067032003,40
41067032004,40
41067032005,40
41067032104,40
41067032107,40
41067032108,40
41067032109,40
41067032110,43.24324324
41067032111,40
41067032112,40
41067032201,40
41067032202,39.5959596
41067032301,31.78571429
41067032302,37.05882353
41067032404,40
41067032407,40
41067032409,30
41067032410,40
41067032411,40
41067032412,40
41067032413,40
41067032414,40
41067032501,39.44444444
41067032502,40
41067032503,38.27586207
41067032603,30
41067032604,32.08695652
41067032606,33.44827586
41067032608,33.75
41067032609,30
41067032610,30
41067032611,40
41067032612,39.21052632
41067032700,27.79411765
41067032800,27.01754386
41067032901,30
41067032903,30
41067032904,30.72289157
41067033000,29.92424242
41067033101,24.09090909
41067033102,29.75609756
41067033201,25.2173913
41067033202,20
41067033301,20.51948052
41067033302,20
41067033400,20.66666667
41067033500,20
41067033600,21.09090909
41069960100,29.29292929
41071030101,39.33962264
41071030102,33.15789474
41071030201,32.07207207
41071030202,33.27868852
41071030302,30.28169014
41071030303,30
41071030304,30
41071030400,21.64037855
41071030501,20.87837838
41071030502,20.11627907
41071030601,29.84375
41071030602,28.36206897
41071030702,30
41071030703,30
41071030704,30
41071030801,30
41071030802,30
41071030900,30
41071031000,29.75609756
53001950100,20
53001950200,20
53001950301,20
53001950302,20
53001950303,20
53001950400,20
53001950500,20
53003960100,25.40540541
53003960200,28
53003960300,30
53003960400,30
53003960500,30
53003960600,30
53005010100,29.61038961
53005010201,28.3908046
53005010203,29.8
53005010204,30
53005010300,30
53005010400,30
53005010500,30
53005010600,30
53005010701,20
53005010703,21.71875
53005010705,22.53333333
53005010707,20
53005010708,23.37837838
53005010807,21.38888889
53005010809,30
53005010810,30
53005010811,28.97727273
53005010814,29.83050847
53005010815,30
53005010816,30
53005010817,30
53005010818,27.70833333
53005010819,30
53005010820,30
53005010901,30
